"","X","sample","bix","b","t","a","m","c","fi","hix","integration_time","date","Station","a254","a300","E2_E3","E4_E6","S275_295","S350_400","S300_700","SR","PI_name","Latitude° N","Longitude°W","Lake","year","season","Month","NPOC","NPOC.LOD.flag","TN.LOD.flag","Notes","TN","SUVA254"
"11",11,"SB213Feb25",1.036611795,NA,0.132056253,0.305341861,0.175778909,0.102328485,1.396189717,0.707044396,"01s","13-Feb-25","SB_2",9.711092935,3.321752347,11.32679608,3.890853991,0.027604476,0.019275934,0.02059233,1.432069428,"Godwin",43.66742,-83.80702,"Lake Huron",2025,"Winter",NA,NA,NA,NA,NA,NA,NA
"12",12,"SB413Feb25",0.870994549,NA,0.094909424,0.244698447,0.120624355,0.06585506,1.353495758,0.668203643,"01s","13-Feb-25","SB_4",7.230152197,2.34776364,12.81348461,-1.517780228,0.028810862,0.020591672,0.046002769,1.399151157,"Godwin",43.73636,-83.9486,"Lake Huron",2025,"Winter",NA,NA,NA,NA,NA,NA,NA
"13",13,"SM18Feb25",0.707299491,NA,0.084381374,0.565676574,0.349862114,0.296225776,1.254376852,0.891367161,"01s","18-Feb-25","St_Martins_Bay",23.51613222,12.33212261,5.422605929,20.58757252,0.015202131,0.016839048,0.015763302,0.902790365,"Doubek",46.01307,-84.8302,"Lake Huron",2025,"Winter",NA,NA,NA,NA,NA,NA,NA
"14",14,"SMR29Feb25",0.994988855,NA,0.023967103,0.137539923,0.066408604,0.044001796,2.007693277,0.573520199,"01s","29Feb25","SMR_02",3.747334129,1.300572251,11.02476365,-0.519579937,0.027024225,0.02257182,0.098428499,1.197255012,"Twiss",46.501389,-84.34689,"Lake Huron",2025,"Winter",NA,NA,NA,NA,NA,NA,NA
"15",15,"WF17Feb25",0.488471312,NA,0.042653476,0.154495291,0.07137782,0.057490536,0.99895457,0.656847011,"01s","17-Feb-25","Whitefish_Bay",5.809014065,2.464258676,7.639029833,-2.152424543,0.02094533,0.018203528,0.024268682,1.150619301,"Doubek",46.45445,-84.8302,"Lake Superior",2025,"Winter",NA,NA,NA,NA,NA,NA,NA
"16",17,"EC95820May24",0.904305974,NA,0.175647097,0.343158019,0.193644144,0.139645902,1.188978796,0.768395791,"01s","20-May-24","EC958",11.79506844,5.495016957,7.092965208,8.639942996,0.018620026,0.016662674,0.018285633,1.117469243,"McKay",41.51525,-81.72153,"Lake Erie",2024,"Spring","May",2.665,"","","",0.87867895,4.4259168630394
"17",18,"EC96220May24",1.204908817,NA,0.124479062,0.134105407,0.069782122,0.041412944,0.910773574,0.494863238,"01s","20-May-24","EC962",6.793132891,2.836822984,5.428403503,1.179417375,0.021981474,0.008248347,0.010233705,2.664954968,NA,NA,NA,NA,2024,"Spring","May",2.203,"","","",0.246242908,3.08358279210168
"18",20,"GB15May2401s",0.805559435,NA,0.261536913,0.896524184,0.537204317,0.374358076,1.26952899,0.84279091,"01s","15-May-24","GB_32",33.27658728,15.60568817,7.129079865,3.967854363,0.01907891,0.015693419,0.018031704,1.21572683,"Rae-Ann",44.58152,-87.97967,"Lake Michigan",2024,"Spring",NA,NA,NA,NA,NA,NA,NA
"19",21,"GraMay2401s",0.87276261,NA,0.080659656,0.168316167,0.096412469,0.058696213,1.135807396,0.555565278,"01s","24-May","Graeber",7.697991968,3.333546196,8.610876963,-5.372631982,0.020442564,0.017289625,0.025577596,1.182360148,"Zastepa",42.8631,-79.0524,"Lake Erie",NA,"Spring","May",2.708,"","","",0.430707944,2.8426853648449
"20",22,"KB29May2401s",0.96787315,NA,0.034312035,0.134916189,0.061339116,0.045495352,0.896254091,0.771449988,"01s","29-May-24","Keweenaw_Bay_Baraga",5.853536299,2.574801811,7.943620208,-2.21399226,0.020043194,0.019769068,0.094225725,1.013866435,"Vick-Majors",46.77674,-88.48309,"Lake Superior",2024,"Spring","May",1.507,"","","",0.379353052,3.88423112076974
"21",23,"KW29May2401s",0.731902144,NA,0.077764314,0.382467065,0.231431145,0.160098845,1.091868099,0.858950684,"01s","29-May-24","Keweenaw_Waterway",19.27494241,9.889792328,5.991423491,9.421406402,0.016529262,0.016915772,0.01690023,0.977150885,"Vick-Majors",47.12155,-88.54558,"Lake Superior",2024,"Spring","May",2.823,"","","",0.282940485,6.82782232022671
"22",24,"Mar15May2401s",1.112275624,NA,0.073682263,0.141301765,0.084624104,0.058425764,1.125237763,0.705830558,"01s","15-May-24","St_Martins_Bay",7.750755355,3.393731854,8.274561279,-0.215506624,0.020485924,0.020043377,0.103228061,1.022079429,"Doubek",46.01307,-84.8302,"Lake Huron",2024,"Spring","May",1.877,"","","",0.347649821,4.12933156899307
"23",25,"MB14May2401s",0.802892001,NA,0.181178929,0.733142039,0.450791005,0.338040089,1.270785723,0.901389486,"01s","14-May-24","LSC_MB",24.1383156,12.02341061,6.853008813,19.91151798,0.017257346,0.017651128,0.018323113,0.977690831,"McKay",42.46891,-82.41095,"Lake St Clair",2024,"Spring","May",3.996,"","","",1.903279623,6.04061951951952
"24",26,"Rac14May2401s",1.153112726,NA,0.061074047,0.142966819,0.072455803,0.051418417,1.126466818,0.698895217,"01s","14-May-24","Racine",5.940963244,2.225996545,11.0670666,0.030585129,0.024199757,0.02205597,0.103837714,1.097197569,"Rae-Ann",42.737571,-87.777174,"Lake Michigan",2024,"Spring","May",1.923,"","","",0.442868088,3.08942446385855
"25",27,"S114May2401s",0.968418245,NA,0.081627463,0.273021141,0.141113667,0.092131478,1.373173724,0.787052294,"01s","14-May-24","SCS1",9.252223079,3.893139805,9.606774876,-0.209592261,0.021513625,0.021695772,0.104330348,0.991604462,"Wagner",42.4719444,-82.875,"Lake St Clair",2024,"Spring","May",2.546,"","","",0.435702289,3.63402320463472
"26",28,"S214May2401s",0.720286855,NA,0.098548289,0.327006057,0.172085283,0.125999712,1.236527883,0.846049335,"01s","14-May-24","SCS2",11.28008844,5.20559107,7.543364364,-0.800076775,0.019034979,0.019079905,0.103696771,0.997645358,"Wagner",46.66423,-82.7546,"Lake St Clair",2024,"Spring","May",2.516,"","","",0.513114632,4.4833419872814
"27",29,"SB15May2401s",1.537000189,NA,0.065083295,0.138546125,0.053211314,0.036145604,0.8643806,0.719682669,"01s","15-May-24","1629_Suttons_Bay",4.596172104,1.553412821,13.30130213,0.015783054,0.027571554,0.022552726,0.10280452,1.222537523,"Uzarski",44.97469,-85.64677,"Lake Michigan",2024,"Spring","May",1.782,"","","Took average of the duplicate samples",0.391513196,2.57922115824916
"28",30,"SB215May2401s",0.880813753,NA,0.041867336,0.117326097,0.058126288,0.033334231,1.55198145,0.718787208,"01s","15-May-24","SB_2",4.873171314,1.842697988,7.59080099,1.975737071,0.024622776,0.01163649,0.015019836,2.115996825,"Godwin",43.66742,-83.80702,"Lake Huron",2024,"Spring",NA,NA,NA,NA,NA,NA,NA
"29",31,"TC15May2401s",0.740343464,NA,0.077380296,0.308476879,0.174907279,0.126989304,1.137995337,0.813615848,"01s","15-May-24","NW_Pier",11.32217516,5.292691045,7.525746217,-1.467243761,0.01913302,0.019155358,0.041898771,0.998833889,"Uzarski",44.76573,-85.60578,"Lake Michigan",2024,"Spring","May",2.234,"","","",0.444279533,5.06811779767234
"30",33,"BQ121May241s",0.739238367,NA,0.212877301,0.867853875,0.542989068,0.378487959,1.227128786,0.854392232,"1s","21-May-24","Bay_of_Quinte",34.77803308,16.64794229,7.41131054,31.16026367,0.018888958,0.018603315,0.019268201,1.015354426,"Xenopoulos",44.14273,-77.38573,"Lake Ontario",2024,"Spring","May",5.419,"","","",0.4025876125,6.41779536445839
"31",34,"GB122May241s",0.689736726,NA,0.201873546,0.802574473,0.509646975,0.356569551,1.208278729,0.853626161,"1s","22-May-24","Georgian_Bay",34.24778718,17.40632391,6.240512032,5.520707684,0.017210651,0.017099555,0.01715269,1.006497059,"Xenopoulos",44.751916,-79.7777518,"Lake Huron",2024,"Spring","May",5.113,"","","",0.31116939,6.69817859964796
"32",35,"WF16May241s",0.578267475,NA,0.092592219,0.489797686,0.304659261,0.245777947,1.096515505,0.890138468,"1s","16-May-24","Whitefish_Bay",27.47977973,15.08676467,5.221619047,10.31412602,0.014655478,0.016268334,0.015795251,0.900859186,"Doubek",46.45445,-84.8302,"Lake Superior",2024,"Spring","May",3.43,"","","",0.388038869,8.01159758892128
"33",36,"BPier13Aug24",0.313182981,NA,-0.092486326,0.097642236,0.04889565,0.041137638,0.6874807,2.292676611,"01s","13-Aug-24","B-Pier",5.312212286,1.645763397,13.35896982,4.364159905,0.030308807,0.018983085,0.024987741,1.596621809,"Currie",43.30237,-79.7915,"Lake Ontario",2024,"Summer","August",2.366,"","","",0.333535368,2.24522919949281
"34",37,"BQ18Aug24",0.710928287,NA,0.04671376,0.881865837,0.55117182,0.371125468,1.279975612,0.927643575,"01s","18-Aug-24","Bay_of_Quinte",35.1373588,15.81072077,7.932713976,7.154208945,0.02068522,0.018670185,0.019132554,1.107928002,"Xenopoulos",44.14273,-77.38573,"Lake Ontario",2024,"Summer",NA,NA,NA,NA,NA,NA,NA
"35",38,"CCIW13Aug24",0.905433537,NA,0.181619606,0.629021235,0.39769847,0.282794871,1.298223279,0.761775339,"01s","13-Aug-24","CCIW",20.411265,9.51698982,7.466271784,14.07927475,0.01929358,0.017673115,0.019068873,1.091690975,"Currie",43.29726,-79.80184,"Lake Ontario",2024,"Summer","August",4.299,"","","",2.454828995,4.7479099790649
"36",39,"GB1Aug24",0.711974438,NA,0.003356834,0.519197043,0.297990205,0.201303889,1.195235931,0.887596851,"01s","8-Aug-24","Georgian_Bay",24.61774843,10.63444329,8.25451924,12.96153538,0.021759089,0.018228933,0.019676213,1.193656783,"Xenopoulos",44.751916,-79.7777518,"Lake Huron",2024,"Summer",NA,NA,NA,NA,NA,NA,NA
"37",40,"GraeAug24",0.147892708,NA,-0.060364469,0.126418874,0.083046593,0.059940395,1.449437462,1.12668667,"01s","24-Aug","Graeber",6.717286271,2.559193908,9.743942571,-6.978342326,0.025392681,0.017678726,0.028502243,1.436341138,"Zastepa",42.8631,-79.0524,"Lake Erie",NA,"Summer","August",3.238,"","","",0.370558663,2.07451706948734
"38",41,"NPier23Jun24",-1.081351117,NA,-0.132393306,0.083570417,0.047171316,0.032682417,1.230012707,1.621631812,"01s","23-Jun-24","NW_Pier",4.297799217,1.251626537,15.57832058,-0.013634356,0.031727364,0.024632761,0.102043067,1.288014958,"Uzarski",44.76573,-85.60578,"Lake Michigan",2024,"Summer",NA,NA,NA,NA,NA,NA,NA
"39",42,"PIB12Aug24",0.666145145,NA,-0.055433832,0.226969796,0.118140237,0.089031288,1.292967456,1.010500398,"01s","12-Aug-24","Put-In-Bay",9.44149564,3.876280814,7.094581619,2.19977389,0.023300467,0.013940537,0.015058505,1.671418168,"Chaffin",41.658349,-82.826087,"Lake Erie",2024,"Summer","August",2.582,"","","",0.352101302,3.6566598140976
"40",43,"WB14May24",-0.115127874,NA,-0.111353987,0.132128375,0.062897527,0.053500899,1.067438005,1.22804775,"01s","14-May-24","Washburn",6.443812325,2.673176045,8.81753995,-7.908460895,0.022645348,0.019463263,0.027016341,1.163491844,"Ozersky",46.67001,-90.884295,"Lake Superior",2024,"Spring","May",1.867,"","","",0.382393088,3.45142599089448
"41",44,"WB8Aug24",0.47265668,NA,0.001292204,0.236964487,0.136521107,0.094810966,1.057621141,0.82339365,"01s","8-Aug-24","Washburn",13.10605712,6.173632738,6.306029357,3.10711952,0.018757164,0.01551044,0.016053289,1.209325062,"Ozersky",46.67001,-90.884295,"Lake Superior",2024,"Summer",NA,NA,NA,NA,NA,NA,NA
"42",45,"GB1Aug241s",0.972641609,NA,0.352735584,0.499261962,0.324138022,0.190155805,1.230084487,0.726446199,"1s","1-Aug-24","Georgian_Bay",24.97641274,10.90062344,8.111111318,5.689010004,0.021447358,0.017778974,0.019197334,1.206332684,"Xenopoulos",44.751916,-79.7777518,"Lake Huron",2024,"Summer",NA,NA,NA,NA,NA,NA,NA
"43",46,"GB327Aug241s",0.892444998,NA,0.47236975,1.023804031,0.631099825,0.417341666,1.257248435,0.792895369,"1s","7-Aug-24","GB_32",35.47900391,15.68395983,8.149961033,3.304819418,0.020687502,0.01830079,0.018936102,1.13041583,"Rae-Ann",44.58152,-87.97967,"Lake Michigan",2024,"Summer","August",6.421,"","","",0.563709515,5.52546393240928
"44",47,"KW6Aug241s",0.705264867,NA,0.17393077,0.613581377,0.403127636,0.263201231,1.18345471,0.853874532,"1s","6-Aug-24","Keweenaw_Waterway",29.95125279,14.97590599,6.3011825,6.151463016,0.017310629,0.017095087,0.017026934,1.012608441,"Vick-Majors",47.12155,-88.54558,"Lake Superior",2024,"Summer","August",4.553,"","","",0.218014004,6.57835554359763
"45",50,"Mart13Aug24",0.375426309,NA,0.050660718,0.121858397,0.053317316,0.03109118,0.470656872,0.486847528,"01s","13-Aug-24","St_Martins_Bay",4.34425618,1.347155446,13.4276811,0.247265708,0.031292555,0.023358388,0.112787491,1.339670982,"Doubek",46.01307,-84.8302,"Lake Huron",2024,"Summer","August",2.313,"","","",0.295752065,1.87819117163856
"46",51,"Rac13Aug24",1.247085601,NA,0.21187091,0.192309278,0.107528985,0.059721091,1.782629346,0.496231152,"01s","13-Aug-24","Racine",8.188090066,4.286459874,3.483254894,1.47042598,0.016141971,0.006370839,0.006351993,2.533727626,"Rae-Ann",42.737571,-87.777174,"Lake Michigan",2024,"Summer",NA,NA,NA,NA,NA,NA,NA
"47",52,"SB23Jun24",1.47414784,NA,0.05606178,0.11220666,0.046545387,0.032546299,0.758690049,0.531613409,"01s","23-Jun-24","1629_Suttons_Bay",3.846880941,1.074878034,15.25389267,-2.755332893,0.032741589,0.019811114,0.092854413,1.652687965,"Uzarski",44.97469,-85.64677,"Lake Michigan",2024,"Summer",NA,NA,NA,NA,NA,NA,NA
"48",53,"SCS15Aug24",0.88852717,NA,0.225634945,0.727120869,0.401016028,0.276443983,1.270570541,0.774363592,"01s","5-Aug-24","SCS1",18.19370162,8.350362386,7.385538658,14.01665811,0.019560075,0.017637512,0.018333981,1.109004204,"Wagner",42.4719444,-82.875,"Lake St Clair",2024,"Summer",NA,NA,NA,NA,NA,0.273277514,NA
"49",54,"SCS25Aug24",0.848121675,NA,0.123968034,0.235380319,0.144202412,0.097452923,1.428500722,0.640102508,"01s","5-Aug-24","SCS2",6.995053438,2.89532879,8.158571916,4.878195495,0.022150945,0.016232214,0.018347022,1.364628712,"Wagner",46.66423,-82.7546,"Lake St Clair",2024,"Summer","August",2.621,"","","Took Average of duplicate sample",0.400307585,2.66884907974056
"50",55,"WF13Aug24",0.733817164,NA,0.029299902,0.120609719,0.057679297,0.035206077,1.339114201,0.54082535,"01s","13-Aug-24","Whitefish_Bay",4.712148374,1.700922814,11.8328083,0.232786041,0.026900297,0.023485038,0.103767932,1.145422768,"Doubek",46.45445,-84.8302,"Lake Superior",2024,"Summer","August",1.573,"","","",0.349169838,2.9956442301335
"51",56,"A920Feb25",0.911458007,NA,0.028451628,0.103448365,0.041205717,0.023607204,0.136777696,0.985449592,"01s","20-Feb-25","LH-9A",3.158910661,0.947747036,9.292957945,1.239096811,0.031547166,0.009056119,0.012435268,3.483519229,"Currie",43.45683,-82.251167,"Lake Huron",2025,"Winter",NA,NA,NA,NA,NA,NA,NA
"52",57,"DR19Feb25",0.843210326,NA,0.010093334,0.101581562,0.054124553,0.031318455,0.128481694,0.79001965,"01s","19-Feb-25","DR-1",3.097369807,0.712202332,36.48709815,-0.086981538,0.03821471,0.038874706,0.121250164,0.983022488,"Currie",42.351483,-82.935167,"Lake St Clair",2025,"Winter",NA,NA,NA,NA,NA,NA,NA
"53",58,"SCS124Feb25",0.838115889,NA,0.02522953,0.1169022,0.063566158,0.041260018,1.121409742,0.82975347,"01s","24-Feb-25","SCS1",3.564357254,1.017341437,15.8492832,2.35016911,0.032221156,0.019841658,0.023159592,1.623914459,"Wagner",42.4719444,-82.875,"Lake St Clair",2025,"Winter",NA,NA,NA,NA,NA,NA,NA
"54",59,"KW123Feb241s",0.672916136,NA,0.042762214,0.126840926,0.075513058,0.058567527,1.235245173,0.819614516,"1s","23-Feb-24","Keweenaw_Waterway",7.351569521,3.513155619,6.340295715,6.036172207,0.018402271,0.015662256,0.016323003,1.174943812,"Vick-Majors",47.12155,-88.54558,"Lake Superior",2024,"Winter","February",1.641,"","","",0.384130251,4.47993267580743
"55",62,"BQ121Feb241s",0.775179762,NA,0.27629216,0.92934873,0.587666089,0.421689009,1.228161389,0.855991161,"1s","21-Feb-24","Bay_of_Quinte",32.10009517,15.44674063,7.388363854,8.577585359,0.018960272,0.018852338,0.018981068,1.005725216,"Xenopoulos",44.14273,-77.38573,"Lake Ontario",2024,"Winter","February",5.267,"","","",0.704636894,6.09456904689577
"56",63,"CCIW26Feb241s",0.981173006,NA,0.296233901,0.660431078,0.428026625,0.315003991,1.371727195,0.788347606,"1s","26-Feb-24","CCIW",17.66494245,8.631225668,7.320140541,3.241052311,0.017280003,0.016968585,0.01855667,1.018352614,"Currie",43.29726,-79.80184,"Lake Ontario",2024,"Winter","February",3.418,"","","",3.262609965,5.16821019602107
"57",64,"GB22Feb241s",0.627095279,NA,0.246926161,1.029662811,0.643755198,0.511327346,1.170232873,0.881537814,"1s","22-Feb-24","Georgian_Bay",43.39861779,23.9097843,5.078100659,5.00606795,0.014805483,0.015620796,0.015177155,0.947805916,"Xenopoulos",44.751916,-79.7777518,"Lake Huron",2024,"Winter","February",5.39,"","","",0.465234067,8.0516916122449
"58",66,"Chi27Feb2401s",0.941426316,NA,0.156642422,0.182125231,0.076425815,0.061367594,0.731182361,0.66420411,"01s","27-Feb-24","Chicago",5.380041145,2.36556804,4.365767495,1.233238773,0.020760168,0.004770984,0.007088867,4.351339011,"Coleman",41.79519,-87.57619,"Lake Michigan",2024,"Winter","February",1.662,"","","",0.419524955,3.23708853489771
"59",67,"EC95820Feb24",1.000420773,NA,0.159512154,0.306038938,0.158699602,0.121729835,1.260038059,0.852684006,"01s","20-Feb-24","EC958",9.586115569,4.536583849,5.819320666,2.48832826,0.018876348,0.012751612,0.013964213,1.480310757,"McKay",41.51525,-81.72153,"Lake Erie",2024,"Winter","February",2.447,"","","",0.489445781,3.9174971675521
"60",68,"GB13Mar2401s",0.933222924,NA,0.227196865,0.564407464,0.303394455,0.220090817,1.20816329,0.811787628,"01s","13-Mar-24","GB_32",19.86675934,8.612578896,8.482851017,3.670520789,0.021538361,0.017822405,0.019643885,1.208499152,"Rae-Ann",44.58152,-87.97967,"Lake Michigan",2024,"Winter","March",7.518,"","","",0.309215081,2.64255910348497
"61",70,"Gra21Mar2401s",1.12662846,NA,0.097182323,0.19185669,0.094264627,0.075979363,0.991655285,0.748667281,"01s","21-Mar-24","Graeber",6.423422043,2.470935446,9.526996528,1.950012476,0.024927195,0.018470643,0.019584026,1.349557524,"Zastepa",42.8631,-79.0524,"Lake Erie",2024,"Winter","March",2.178,"","","",0.310952244,2.94922958815427
"62",71,"KB2Mar2401s",1.728817917,NA,0.035651434,0.116116832,0.055877972,0.044292529,0.672316103,0.869855426,"01s","2-Mar-24","Keweenaw_Bay_Baraga",5.299156968,2.422981006,5.734120406,1.891558911,0.020158962,0.011752168,0.012878652,1.715339862,"Vick-Majors",46.77674,-88.48309,"Lake Superior",2024,"Winter","March",1.531,"","","",0.383804533,3.4612390385369
"63",73,"LSC27Feb2401s",0.846234324,NA,0.179055531,0.373627426,0.208734002,0.166560957,1.126405343,0.819542544,"01s","27-Feb-24","LSC_MB",21.50060653,15.39018251,2.162571417,1.440281027,0.007924856,0.005166586,0.005093399,1.533867137,"McKay",42.46891,-82.41095,"Lake St Clair",2024,"Winter","February",1.895,"","","",1.451617146,11.3459665065963
"64",74,"Mart29Feb2401",0.604384489,NA,0.152269415,1.575423082,0.887871351,0.80634253,1.124383069,0.918098561,"1","29-Feb-24","St_Martins_Bay",59.87894174,33.83958045,4.937414363,5.96492751,0.013797199,0.015765805,0.015139847,0.875134405,"Doubek",46.01307,-84.8302,"Lake Huron",2024,"Winter",NA,NA,NA,NA,NA,NA,NA
"65",75,"NW28Feb2401s",0.779307822,NA,0.062358396,0.349146836,0.160919185,0.129481486,1.042738125,0.913844297,"01s","28-Feb-24","NW_Pier",7.603748396,3.418004533,8.328605624,-1.547007603,0.020147125,0.019792356,0.029893792,1.017924544,"Uzarski",44.76573,-85.60578,"Lake Michigan",2024,"Winter","February",1.821,"","","",0.462411176,4.17558945414607
"66",76,"Que27Feb2401s",1.328065161,NA,0.248863702,0.278981619,0.148820866,0.104146104,1.10420901,0.628457011,"01s","27-Feb-24","Queen's",9.988804036,4.977622705,10.06610703,6.005367797,0.020256146,0.016410851,0.039224705,1.234314173,"Boegman",44.22061,-76.50165,"Lake Ontario",2024,"Winter",NA,NA,NA,NA,NA,NA,NA
"67",77,"Stc26Feb2401s",1.008734979,NA,0.097059421,0.165856753,0.078720378,0.055382119,0.999262709,0.781034981,"01s","26-Feb-24","SCS1",5.043708865,1.85860912,12.01915332,-0.37409793,0.025232562,0.020282013,0.101402284,1.244085691,"Wagner",42.4719444,-82.875,"Lake St Clair",2024,"Winter","February",2.199,"","","",0.430273654,2.29363750113688
"68",78,"U162928Feb24",2.009176843,NA,0.086091144,0.119782802,0.056188652,0.035355747,0.711302191,0.582971559,"01s","28-Feb-24","1629_Suttons_Bay",4.677832323,1.804663801,6.676003423,1.362795179,0.024614431,0.00892288,0.011104807,2.758574718,"Uzarski",44.97469,-85.64677,"Lake Michigan",2024,"Winter","February",1.728,"","","",0.400307585,2.707078890625
"69",79,"BP26Feb2401s",1.052979983,NA,0.081171841,0.244086982,0.171445404,0.100880295,1.328043521,0.669503634,"01s","26-Feb-24","B-Pier",6.740637125,2.666638171,11.51100022,-0.641648394,0.02241186,0.0227628,0.100613162,0.98458274,"Currie",43.30237,-79.7915,"Lake Ontario",2024,"Winter","February",2.237,"","","",0.817769659,3.01324860303979
"70",80,"EC88823Feb24",1.250971063,NA,0.072041578,0.178395801,0.090706898,0.062631035,0.75943498,0.769957679,"01s","23-Feb-24","EC888",6.117288368,2.324157855,9.759080789,-1.362523742,0.027588797,0.018150017,0.086529809,1.520042533,"McKay",41.28117,-81.67035,"Lake Erie",2024,"Winter","February",2.036,"","","",0.200968088,3.00456206679764
"71",81,"EC93322Feb24",1.116015848,NA,0.091333518,0.176844752,0.105432756,0.066909674,0.860612477,0.770798391,"01s","22-Feb-24","EC933",7.607490541,3.657867427,4.620055012,1.528444483,0.019559088,0.007260556,0.009855728,2.69388283,"McKay",42.82494,-79.56764,"Lake Erie",2024,"Winter","February",2.08,"","","",0.362415709,3.65744737548077
"72",82,"EC95122Feb24",0.950006266,NA,0.041153478,0.192455131,0.093028248,0.058088773,1.231604063,0.765983234,"01s","22-Feb-24","EC951",5.946818974,2.412078081,8.143429822,4.934276685,0.023666827,0.01574112,0.018757932,1.503503353,"McKay",42.47513,-81.44148,"Lake Erie",2024,"Winter","February",1.977,"","<LOD","",NA,3.00800150429944
"73",83,"MB14Mar2401s",0.738722025,NA,0.210668746,0.877368661,0.502772572,0.389455203,1.256084439,0.882746384,"01s","14-May-24","LSC_MB",26.50026238,14.14439759,5.153725245,1.818921072,0.015051887,0.013083609,0.013214512,1.150438431,"McKay",42.46891,-82.41095,"Lake St Clair",2024,"Spring","May",3.996,"","","",1.903279623,6.63169729229229
"74",84,"Rac28Feb2401s",0.709387696,NA,0.053568245,0.194109139,0.0900228,0.065192992,0.825869785,0.864275177,"01s","28-Feb-24","Racine",5.630957317,2.225541267,10.08509362,-3.142241974,0.023634727,0.019081622,0.06892725,1.238612096,"Rae-Ann",42.737571,-87.777174,"Lake Michigan",2024,"Winter","February",1.746,"","","",0.540149237,3.22506146449026
