,sample,bix,b,t,a,m,c,fi,hix,integration_time,date,Station,a254,a300,E2_E3,E4_E6,S275_295,S350_400,S300_700,SR
56,A920Feb25,0.911458007,NA,0.028451628,0.103448365,0.041205717,0.023607204,0.136777696,0.985449592,01s,20-Feb-25,LH-9A,3.158910661,0.947747036,9.292957945,1.239096811,0.031547166,0.009056119,0.012435268,3.483519229
57,DR19Feb25,0.843210326,NA,0.010093334,0.101581562,0.054124553,0.031318455,0.128481694,0.79001965,01s,19-Feb-25,DR-1,3.097369807,0.712202332,36.48709815,-0.086981538,0.03821471,0.038874706,0.121250164,0.983022488
58,SCS124Feb25,0.838115889,NA,0.02522953,0.1169022,0.063566158,0.041260018,1.121409742,0.82975347,01s,24-Feb-25,SCS1,3.564357254,1.017341437,15.8492832,2.35016911,0.032221156,0.019841658,0.023159592,1.623914459
59,KW123Feb241s,0.672916136,NA,0.042762214,0.126840926,0.075513058,0.058567527,1.235245173,0.819614516,1s,23-Feb-24,Keweenaw_Waterway,7.351569521,3.513155619,6.340295715,6.036172207,0.018402271,0.015662256,0.016323003,1.174943812
60,KW123Feb2401s,0.842715051,NA,0.026640905,0.140694292,0.077306599,0.055409665,1.429695685,0.854087815,01s,23-Feb-24,Keweenaw_Waterway,7.451713556,3.571098262,6.319972093,-11.63529868,0.018510647,0.015498665,0.017467079,1.194338112
61,KWB23Feb2401s,10.38195819,NA,0.005446516,0.082800532,0.02028072,0.006556204,-14.59153734,0.181990272,01s,23-Feb-24,Keweenaw_Waterway,0.847746529,0.666594258,1.71162656,1.19687627,0.002015739,0.004407683,0.004199507,0.457324015
62,BQ121Feb241s,0.775179762,NA,0.27629216,0.92934873,0.587666089,0.421689009,1.228161389,0.855991161,1s,21-Feb-24,Bay_of_Quinte,32.10009517,15.44674063,7.388363854,8.577585359,0.018960272,0.018852338,0.018981068,1.005725216
63,CCIW26Feb241s,0.981173006,NA,0.296233901,0.660431078,0.428026625,0.315003991,1.371727195,0.788347606,1s,26-Feb-24,CCIW,17.66494245,8.631225668,7.320140541,3.241052311,0.017280003,0.016968585,0.01855667,1.018352614
64,GB22Feb241s,0.627095279,NA,0.246926161,1.029662811,0.643755198,0.511327346,1.170232873,0.881537814,1s,22-Feb-24,Georgian_Bay,43.39861779,23.9097843,5.078100659,5.00606795,0.014805483,0.015620796,0.015177155,0.947805916
65,CCIW26Feb2401,0.995425554,NA,0.375484808,0.802268361,0.49021377,0.349646554,1.387137748,0.79264317,1,26-Feb-24,CCIW,17.7132792,8.616300043,7.374874685,4.621932544,0.017357952,0.01733923,0.018674833,1.001079778
66,Chi27Feb2401s,0.941426316,NA,0.156642422,0.182125231,0.076425815,0.061367594,0.731182361,0.66420411,01s,27-Feb-24,Chicago,5.380041145,2.36556804,4.365767495,1.233238773,0.020760168,0.004770984,0.007088867,4.351339011
67,EC95820Feb24,1.000420773,NA,0.159512154,0.306038938,0.158699602,0.121729835,1.260038059,0.852684006,01s,20-Feb-24,EC958,9.586115569,4.536583849,5.819320666,2.48832826,0.018876348,0.012751612,0.013964213,1.480310757
68,GB13Mar2401s,0.933222924,NA,0.227196865,0.564407464,0.303394455,0.220090817,1.20816329,0.811787628,01s,13-Mar-24,GB_32,19.86675934,8.612578896,8.482851017,3.670520789,0.021538361,0.017822405,0.019643885,1.208499152
69,GB22Feb2401s,0.625003883,NA,0.261884681,1.163281537,0.699594777,0.574704833,1.134918628,0.889726193,01s,22-Feb-24,Georgian_Bay,43.06831472,23.56358737,5.22164123,8.410167021,0.015089394,0.016173917,0.015602129,0.932946157
70,Gra21Mar2401s,1.12662846,NA,0.097182323,0.19185669,0.094264627,0.075979363,0.991655285,0.748667281,01s,21-Mar-24,Graeber,6.423422043,2.470935446,9.526996528,1.950012476,0.024927195,0.018470643,0.019584026,1.349557524
71,KB2Mar2401s,1.728817917,NA,0.035651434,0.116116832,0.055877972,0.044292529,0.672316103,0.869855426,01s,2-Mar-24,Keweenaw_Bay_Baraga,5.299156968,2.422981006,5.734120406,1.891558911,0.020158962,0.011752168,0.012878652,1.715339862
72,KW23Feb2401s,0.824695178,NA,0.063132654,0.191465163,0.096083427,0.083418796,0.907455217,0.892903487,01s,23-Feb-24,Keweenaw_Waterway,6.869663127,3.17243321,7.048001232,26.00115298,0.019428164,0.016974209,0.018421501,1.144569624
73,LSC27Feb2401s,0.846234324,NA,0.179055531,0.373627426,0.208734002,0.166560957,1.126405343,0.819542544,01s,27-Feb-24,LSC_MB,21.50060653,15.39018251,2.162571417,1.440281027,0.007924856,0.005166586,0.005093399,1.533867137
74,Mart29Feb2401,0.604384489,NA,0.152269415,1.575423082,0.887871351,0.80634253,1.124383069,0.918098561,1,29-Feb-24,St_Martins_Bay,59.87894174,33.83958045,4.937414363,5.96492751,0.013797199,0.015765805,0.015139847,0.875134405
75,NW28Feb2401s,0.779307822,NA,0.062358396,0.349146836,0.160919185,0.129481486,1.042738125,0.913844297,01s,28-Feb-24,NW_Pier,7.603748396,3.418004533,8.328605624,-1.547007603,0.020147125,0.019792356,0.029893792,1.017924544
76,Que27Feb2401s,1.328065161,NA,0.248863702,0.278981619,0.148820866,0.104146104,1.10420901,0.628457011,01s,27-Feb-24,Queen's,9.988804036,4.977622705,10.06610703,6.005367797,0.020256146,0.016410851,0.039224705,1.234314173
77,Stc26Feb2401s,1.008734979,NA,0.097059421,0.165856753,0.078720378,0.055382119,0.999262709,0.781034981,01s,26-Feb-24,SCS1,5.043708865,1.85860912,12.01915332,-0.37409793,0.025232562,0.020282013,0.101402284,1.244085691
78,U162928Feb24,2.009176843,NA,0.086091144,0.119782802,0.056188652,0.035355747,0.711302191,0.582971559,01s,28-Feb-24,1629_Suttons_Bay,4.677832323,1.804663801,6.676003423,1.362795179,0.024614431,0.00892288,0.011104807,2.758574718
79,BP26Feb2401s,1.052979983,NA,0.081171841,0.244086982,0.171445404,0.100880295,1.328043521,0.669503634,01s,26-Feb-24,B-Pier,6.740637125,2.666638171,11.51100022,-0.641648394,0.02241186,0.0227628,0.100613162,0.98458274
80,EC88823Feb24,1.250971063,NA,0.072041578,0.178395801,0.090706898,0.062631035,0.75943498,0.769957679,01s,23-Feb-24,EC888,6.117288368,2.324157855,9.759080789,-1.362523742,0.027588797,0.018150017,0.086529809,1.520042533
81,EC93322Feb24,1.116015848,NA,0.091333518,0.176844752,0.105432756,0.066909674,0.860612477,0.770798391,01s,22-Feb-24,EC933,7.607490541,3.657867427,4.620055012,1.528444483,0.019559088,0.007260556,0.009855728,2.69388283
82,EC95122Feb24,0.950006266,NA,0.041153478,0.192455131,0.093028248,0.058088773,1.231604063,0.765983234,01s,22-Feb-24,EC951,5.946818974,2.412078081,8.143429822,4.934276685,0.023666827,0.01574112,0.018757932,1.503503353
83,MB14Mar2401s,0.738722025,NA,0.210668746,0.877368661,0.502772572,0.389455203,1.256084439,0.882746384,01s,14-May-24,LSC_MB,26.50026238,14.14439759,5.153725245,1.818921072,0.015051887,0.013083609,0.013214512,1.150438431
84,Rac28Feb2401s,0.709387696,NA,0.053568245,0.194109139,0.0900228,0.065192992,0.825869785,0.864275177,01s,28-Feb-24,Racine,5.630957317,2.225541267,10.08509362,-3.142241974,0.023634727,0.019081622,0.06892725,1.238612096
85,SBI27Feb2401s,0.801006608,NA,0.106549994,0.304382477,0.15020213,0.115323487,1.000367121,0.836093748,01s,27-Feb-24,Put-In-Bay,9.528559478,4.748700258,5.892735619,5.803948519,0.017368883,0.014347039,0.016185828,1.210624922
86,WB20Feb2401s,0.805145803,NA,0.03872074,0.167405015,0.075555119,0.045454457,0.839431721,0.978711301,01s,20-Feb-24,Washburn,5.665781643,2.401988892,8.504124959,-1.278971389,0.022432846,0.018156149,0.090203103,1.235550877
87,WF6Mar2401s,0.53849387,NA,0.113065246,0.888412873,0.487931354,0.464930429,1.135729444,0.94622696,01s,6-Mar-24,Whitefish_Bay,39.98813267,23.42799988,4.309322926,2.339400016,0.012762752,0.013972822,0.013224852,0.913398292
