Sampling_Site_Name,PI,Lake,Sampling_Dates,Month,Latitude° N,Longitude°W ,Sampling_Organization,CTD profile filename,Water_Depth_m,Water_samples_depth_m,Time_in,Time_out,Weather_conditions,Ice_Thickness_m,Ice_properties,Snow_Thickness_cm,LiCor_w_snow_air,LiCor_w_snow_0_m,LiCor_Under_ice,LiCor_w_snow_1_m,LiCor_w_snow_1.5_m,LiCor_w_snow_2_m,LiCor_w_snow_2.5_m,LiCor_w_snow_3_m,LiCor_w_snow_3.5_m,LiCor_w_snow_4_m,LiCor_w_snow_4.5_m,LiCor_w_snow_5_m,LiCor_w_snow_5.5_m,LiCor_w_snow_6_m,LiCor_w_snow_7_m,LiCor_w_snow_8_m,LiCor_w_snow_9_m,LiCor_w_snow_10_m,LiCor_no_snow_air,LiCor_no_snow_0_m,LiCor_no_snow_under_ice,Taxonomy_biomass depth_m,Taxonomy_biomass_tows,Trophic_ecology_depth_m,Trophic_ecology_tows,Notes
Burlington-Pier,Warren Currie,Ontario,26-Feb-24,February,NA,NA,Canada Centre for Inland Waters,EXOSD_022624_DFO_CCIW.xlsx,2.3,0,1230,1320,"sunny, 3°C, light breeze, 5 kts east",NA,NA,NA,NA,114,NA,105,96,86,77,65,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-2.3,2,0-2.3,1,Trophic tow was horizantal (247-282). 1 zoop in formalin for Kelly (298-304) and another haul was 304-311 (combined). Two more hauls were taken for zoop and combined (282-289 and 289-297). 2.9°C water temp (surface). LiCor measurements did not follow listed values. Measurements were taken at 0.25 and below. They increased by 0.25 m till reaching a depth of 2.0m.
South Bass Island,Chaffin,Erie,27-Feb-24,February,41.658349,-82.826087,OSU Stone Lab,NA,2.5,1,1230,1430,"Sunny, warm, windy, 60°F, SSW 15 mph",NA,NA,NA,NA,1144,858.1,570.2,306.6,209.9,120.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,5,NA,NA,Net dredged the bottom before net opened. Benthic material is in sample and the net with the dock ledge on way up as well. Did not take Trophic sample
Bay of Quintel,Xenopoulos,Ontario,21-Feb-24,February,44.14273,-77.38573,Trent University,Attached to data sheet,0.75,0,1127,1240,"Sunny, no cloud cover, 5°",0.025,"Poor quality, cloudy, slushy",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-0.5,2,0-0.5,10,Net was hitting the bottom. Water was very shallow (off of dock). Cond. Measurements did not work. Sending LiCor in file. CTD data is attached
GB1,Xenopoulos,Huron,22-Feb-24,February,44.751916,-79.7777518,Trent University,Attached to data sheet,1.5,0.5,1137,1257,"sunny,slight breeze, 4°C, became foggy",0.33,"slushly, cloudy",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-0.8,2,0-0.8,30,Very enclosed bay. Did not take microbial cell counts because they did not receive bottles. CTD data is attached
LSC,Wagner,St Clair,26-Feb-24,February,42.472,-82.8767,Oakland University,2_26_2024_stclairl.csv,2.5,0.25,910,1020,"sunny, 4°C, windy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-0.75,4,0-0.75,20,Very wavy. Light meter was not working. Secchi 0.6m. Lots of zebra mussels and phytoplankton (not much zoop).
KW,Vick-Majors,Superior,23-Feb-24,February,47.121,-88.545,Great Lakes Research Center,NA,4.7,0,925,1020,"0.6 m/s (wind speed), 1.5°C, light snowfall, cloudy",0.01,100% coverage. Varied in color (clear to white),0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-3.3,1,NA,NA,LiCor was not working. 0.5m x 1.5 m net with 64 um mesh
GB1,Xenopoulos,Huron,22-May-24,May,44.75187,-79.77777,Trent University,Attached to data sheet,3,0.25,1059,1207,"sunny, windy, 76°F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-2,1,0-2,20,Concentrated 20 tows into 1 falcon tube. CTD is attached. Samples arrived over weekend and sat out at room temp for 2 days.
BQI,Xenopoulos,Ontario,21-May-24,May,44.14271,-77.38605,Trent University,Attached to data sheet,1.25,0,1033,1138,"70°F, sunny",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-1,1,0-1,20,Used handheld YSI. No LiCor profile. Samples arrived over weekend and sat out at room temp for 2 days.
St Martin Bay,Doubek,Huron,20-Feb-24,February,46.01411,-84.69062,Center for Freshwater Research and Education,NA,0.9,0.1,955,1100,"28°F, 7 mph E wind",0.05,opaque,3,851,488.3,54.81,38.04,38.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,566.3,440.4,169.1,0-0.9,1,0-0.9,30,LiCor measurements were actually at 0.5 and 1 m instead of 1 and 1.5m
EC958,McKay,Erie,20-Feb-24,February,41.51525,-81.72153,GLIER,Written in data sheet,13.1,0.5,826,900,"sunny, clear skies",NA,NA,NA,330.8,NA,NA,51.21,NA,52.575,NA,17.535,NA,8.185,NA,2.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Ice present. CTD data is written on data sheet
EC888,McKay,Erie,23-Feb-24,February,41.28117,-81.67035,GLIER,Just water temp is recorded,23.89,0.5,813,NA,"1.2°C, 10/10 cloud cover, visibility 0.5 nm, pressure: 1001.84",NA,NA,NA,NA,88.81,NA,36.11,NA,13.85,NA,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chl.a: 100 mL. phyco: 200 mL, PC/PP: 100mL, Sterivex: 300 mL"
EC933,McKay,Erie,22-Feb-24,February,42.82494,-79.56764,GLIER,Just water temp is recorded,13.74,0,1007,NA,"5°C, Cloud cover: 10/10, Pressure: 1008.16",NA,NA,NA,NA,61.34,NA,26.91,NA,6.82,NA,2.1,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chl.a and phyco: 200 mL. POC/PP: 100mL, strerivex: 300mL"
EC951,McKay,Erie,22-Feb-24,February,42.47513,-81.44148,GLIER,Just water temp is recorded,21.85,0.5,1955,NA,"2.3°C,Cloud cover: 10/10, Pressure: 1004.63, fog: <1/2 nm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chl.a: 100 mL. phyco: 200 mL, PC/PP: 100mL, Sterivex: 300 mL"
1629,Uzarski,Michigan,28-Feb-24,February,44.97469,-85.64677,CMU Wetland Ecology lab,1629-sutten'sbaySendData1_2024.xlsx and 1629-sutten'sbaySendData2_2024.xlsx,2.25,0,1122,1254,"17°F, 25 mph NW wind, snowing, wind gusts up to 35 mph, ",NA,NA,NA,383.4,293.1,167.59,128.94,108.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25-1,1,2.25-1,30,The day before (27Feb24) was sunny and around 70°F
NW pier,Uzarski,Michigan,28-Feb-24,February,44.76573,-85.60578,CMU Wetland Ecology lab,NWPierSendData1_2024.xlsx and NWPierSendData2_2024.xlsx,4.25,0,1452,1554,"20°F, 19mph wind, gusts up to 29mph, NW, feels like 4°F",NA,NA,NA,529,425.3,308.4,184.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25-1,1,1.25-1,30,Weather on 27Feb24: 65°F. Water samples/LiCor/CTD off of west side of dock. Tows were done off of east side of dock
GB 32,Rae-Ann Eifert,Michigan,15-May-24,May,44.58133,-87.9797,Wisconsin DNR,GB32_20240515.csv,9,0.5,900,1012,"53°F, Sunny, 8mph E wind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-6.5,1,0-6.5,6,Water is turbid. Used a 0.5m diameter net. Filter clogged for DOC and DOM. Only got partial EEMs
Racine,Rae-Ann Eifert,Michigan,14-May-24,May,42.737571,-87.777174,Wisconsin DNR,Racine_05142024.csv,NA,0,745,803,"48°F, cloudy, NNE 14mph wind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sampled surface with bucket off of breakwall. Cyanotoxins stored at 20°C. Included duplicates for chl.a and phyco.
EC958,McKay,Erie,20-May-24,May,41.523017,-81.7197,GLIER,Attached to data sheet,10,NA,1024,NA,"79°F, 0% cloud cover, 6 KN wind speed, SSE wind, barometric pressure: 30.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
LSC-MB,McKay,St Clair,14-May-24,May,42.46888,-82.410556,GLIER,Attached to data sheet,1,0.5,1021,1101,"Sunny,15°C, 8mph N wind, 1/8 cloud cover",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2752,694.05,315.1,NA,NA,NA,NA,
Washburn,Ozersky,Superior,14-May-24,May,46.66492,-90.85992,Large Lakes Observatory,Superior_Washburn_ozersky_05142024,9.8,1,845,1025,"Mostly sunny, 10-12 mph NE wind",NA,NA,NA,1195.3,814.5,580.8,489.3,364.8,227.9,189.6,151.05,126.69,95.27,86.23,66.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-9,2,0-9,15,chl.a: 200 ml filtered. Phyco: 200 mL filtered. PC/PP: 200 mL each. Microbe DNA: 480 mL
Sutton's Bay,Uzarski,Michigan,15-May-24,May,44.97469,-85.64677,CMU Wetland Ecology lab,WIN,2.5,0.5,1002,1140,"Full sun, 56°F, 6MPH NE wind, 60% humidity, UV index: 4",NA,NA,NA,1927.8,1364.7,NA,1071.4,817.8,797.2,634.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-1.5,3,0-1.5,30,Tows were done 1 m above the bottom. Additional CTD data via images. No wave action. 
NW pier,Uzarski,Michigan,15-May-24,May,44.76573,-85.60578,CMU Wetland Ecology lab,WIM,3.3,0.5,1300,1410,"Full sun, 62°F, 9mph N wind, UV index: 7,50% humidity",NA,NA,NA,1982.6,1887,810.4,366.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-2.5,3,0-2.5,30,Samples were taken off of NW Pier. Zooplankton were not visible so three tows were nessecary. Tropjic ecology was 10 tows per replicate. Tows were done 1 m above sediment
Whitefish Bay,Doubek,Superior,16-May-24,May,NA,NA,Center for Freshwater Research and Education,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
KW,Vick-Majors,Superior,29-May-24,May,47.12155,-88.54558,Great Lakes Research Center,Gord's YSI,7.59,0,1309,1400,"Clear, sunny, 2.0 m/s (Wind sped), 15° C",NA,NA,NA,16,8.01,,2.3,0.601,0.44,0.45,0.29,0.5,0.331,0.16,0.125,0.117,0.085,0.041,0.021,0.012,0.012,NA,NA,NA,0-7,1,0-7,15,Collected water using Niskin bottle
KB,Vick-Majors,Superior,29-May-24,May,46.78699,-88.4606,Great Lakes Research Center,Gord's YSI,19.5,0,950,NA,"Clear, Sunny, 2.2 m/s (Wind Speed), 11.1° C",NA,NA,NA,16.87,6.719,,5.533,4.107,3.877,3.426,2.535,2.236,1.736,1.603,1.329,1.267,1.029,0.8573,0.7217,0.5372,0.4067,NA,NA,NA,0-15,1,0-15,15,Niskin bottle was used to collect water samples
Queen's,Boegman,Ontario,15-May-24,May,44.22061,-76.50165,CIGLR,Emailed,5,0,945,1015,"16° C, NNE 17 km/h (Wind speed), RH: 78%, 101.1 Kpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chl-a (250 mL) and DNA 45mL x 4
St Clair SI,Wagner,St Clair,14-May-24,May,42.471389,-82.87583,Oakland University,20240514-stclair1,3.099,0.5,1135,1150,"Partly Sunny, E 15 km/h (Wind Speed)",NA,NA,NA,625.5,366.4,260.5,200,142.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-2,2,0-2,10,30m 64 um mesh net. Microbial  comp - 900 ml. Chl-a/Phycocyanin/CNPP 400 mL. Under ice is actually 0.5 m
St Clair S2,Wagner,St Clair,14-May-24,May,42.664722,-82.755278,Oakland University,20240515-stclairS2,2.5,0.5,902,945,"Sunny, Light E winds",NA,NA,NA,1064,682.7,303.2,110.1,47.53,24.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-2,4,0-2,20,30m 64 um net. Not much zooplankton. 240 mL microbial comp. Chl-a/Chycocyanin/CNPP - 150 mL. Under ice is actually 0.5 m
Racine,Rae-Ann Eifert,Michigan,7-Aug-24,August,,,Wisconsin DNR,In google Drive,2,0,735,755,"Sunny, 71° F, a little windy, 1-4 ft waves, turbid water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Water samples were taken at the surface using a bucket. NPP and BP were collected on 8/12/24 with partially sunny conditions, 8 mph wind, and 70° F air temp. DNA filters clogged so only 170 mL was filtered"
GB 32,Rae-Ann Eifert,Michigan,7-Aug-24,August,,,Wisconsin DNR,in googlde drive,8.9,0,1153,1319,"Partly cloudy. 74° F, now wind, calm waters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-6,1,0-6,5,"1st biomass sample had sediment in it and another sample was taken in a large amber bottle, preserved with EtOH and alka seltzer was later added."
St Clair S1,Wagner,St Clair,5-Aug-24,August,42.4719444,-82.875,Oakland University,StClairS1_8524,3.1,3.1,830,9,"9 Km/hr, SW winds, 101.5 kPa, 74% RH",NA,NA,NA,192.6,131.1,72.03,35.61,22.97,15.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-2,9,"Algal Bloom at time of sampling. Changed Biomass sample to St Clair S2, did not observe zoop in trophic ecology sample. Chl-a: 100 mL filtered, phycocyanin: 200 mL filtered, Part CN: 150 mL filtered, Part P: 150 mL filtered, DNA: 420 mL filtered. Net: 64 um mesh. 30 cm diameter. ""Under Ice"" light measurement was 0.5m"
St Clair S2,Wagner,St Clair,5-Aug-24,August,42.66423,-82.7546,Oakland University,StClairS2_8524,2,2,1025,1100,"sunny, 28° C, 9 Km/hr SW, 101.3 kPa, 70% RH",NA,NA,NA,543.3,530.1,425,350.5,228.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8-Jan,3,5-Jan,15,"Net: 64 um mesh adn 30 cm diameter, trophic ecology sample had very low biomass. Chl-a, phycocyanin, Part CN, Part P were all filtered to 400 mL. ""Under Ice"" light profle was taken at 0.5 m."
Sutton's Bay,Uzarski,Michigan,23-Jul-24,July,44.97475,-85.64632,CMU Wetland Ecology lab,win,4.75,0,1140,1311,"rainy, 66° F, ENE 5-10 mph wind",NA,NA,NA,439.9,278.4,229.1,159.45,119.87,147.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-4,1,0-4,30,"miro phyto accidently used the zooplankton water, ran out of 200 proof EtOH, ""Under Ice"" in light profile was taken at 0.5 m"
NW pier,Uzarski,Michigan,23-Jul-24,July,44.76619,-85.60576,CMU Wetland Ecology lab,win,3.25,0,1416,1513,"cloudy/ rain, 70° F, Light + variable ",NA,Na,NA,380.1,235.1,207.8,190.64,132.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-2.5,30,"Did not collect biomass sample, "
KW,Vick-Majors,Superior,7-Aug-24,August,47.12119,-88.54508,Great Lakes Research Center,Gord's YSI,8.3,0,1310,1430,"1.2 m/s, mostly clear, sunny, SE wind, 24.5° C, 41.2% RH",NA,NA,NA,16.5,7.5,NA,4.4,3.1,1.6,1.4,1,0.7,0.5,0.37,0.26,0.19,0.14,0.08,NA,NA,NA,NA,NA,NA,0-7,1,0-7,15,
KB,Vick-Majors,Superior,7-Aug-24,August,46.78716,-88.4608,Great Lakes Research Center,Gord's YSI,19.2,0,1020,1200,"mostly clear, sunny, 0.6 m/s, 22.3° C, 59.6% RH",NA,NA,NA,15.2,5.9,NA,4.5,3.8,3.2,2.8,2.5,2.2,2.1,2.1,1.9,1.6,1.5,1.3,1.1,0.9,0.6,NA,NA,NA,0-12.5,1,0-12.5,10,
Whitefish Bay,Doubek,Superior,13-Aug-24,August,46.45445,-84.8302,Center for Freshwater Research and Education,In google drive folder,10,0.1,720,805,"Sunny, calm, 54° F, W 2 mph wind",NA,NA,NA,361.9,104.5,87.92,83.92,72.04,86.05,65.43,61.12,56.13,51.48,47.42,44.3,42.35,39.25,34.71,27.73,22.46,NA,NA,NA,NA,0-9.5,1,0-9.5,20,"There is more light data that needs to be placed into an optimized spreadsheet, refer to google drive pdf."
St Martin's Bay,Doubek,Huron,13-Aug-24,August,46.01307,-84.8302,Center for Freshwater Research and Education,in google drive folder,10,0.1,940,1020,"Sunny, 0% cloud cover, 65° F, 0 mph wind",NA,NA,NA,1928.1,930,880.1,824.8,733.5,713.5,649.9,656,578.2,535.4,511.7,479.3,432.3,410.8,360.1,324.6,276.7,NA,NA,NA,NA,0-9.5,1,0-9.5,20,"There is more light data that needs to be placed into an optimized spreadsheet, refer to google drive pdf. 0.3 m diameter net for zoop tows. chl-a: 200 mL filtered, phycocyanin: 220 mL, DNA: 480 mL filtered. Opposite preservatives were used for the phyto samples."
CCIW- Hamilton,Warren Currie,Ontario,13-Aug-24,August,43.29825,-79.803083,Canada Centre for Inland Waters,,8.4,0,901,1350,"Major surface scum of algae, calm behind breakwall, wind ESE 15 kph, 22°  C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-7,1,0-7,1,
Bur Pier,Warren Currie,Ontario,13-Aug-24,August,43.2599,-79.74975,Canada Centre for Inland Waters,,10.3,0,1220,1330,"south of bur, 22.58°  C water temp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-9,2,0-9,3,64 um net with a 40 cm diameter
Bur Pier,Warren Currie,Ontario,14-May-24,May,43.30237,-79.7915,Canada Centre for Inland Waters,,5,0.25,1027,1110,"Overcast, slight fog, cleared to sunny",NA,NA,NA,750,630,NA,441,359,295,258,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-4,1,0-4,5,0m or water sruface value was actually taken at 0.1 m
CCIW,Warren Currie,Ontario,15-May-24,May,43.29717,-79.80182,Canada Centre for Inland Waters,,8.5,0.5,1100,1145,"17° C air temp, 100% cloud, 0 waves, 2 kts E",NA,NA,NA,740,361,NA,127,78,52,34,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-8.5,1,0-8.5,2,"64 um net with a 50cm hoop, 0m or water sruface value was actually taken at 0.1 m"
BQ1,Xenopoulos,Ontario,8-Aug-24,August,44.1427,-77.386,Trent University,No CTD data,1.1,0.25,1046,1126,"overcast, sprinkling rain, 72° F",NA,NA,NA,71.72,39.41,24.64,16.1,7.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-0.5,2,0-0.5,20,"LiCor readings were at these depths: air, 0.25, 0.5, 0.75, and 1.0 m"
GB1,Xenopoulos,Huron,12-Aug-24,August,44.75187,-79.7782,Trent University,No CTD data,1.75,0.25,1134,1235,"cloudy, calm and almost no breeze",NA,NA,NA,145.5,86.86,64.23,37.28,17.05,6.107,1.199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-1,15,"Water had lot of pollen/mold/cyanos. LiCor depths: air, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5 m"
Put-In-Bay,Chaffin,Erie,12-Aug-24,August,41.6591,-82.82265,OSU Stone Lab,Dock,7.4676,2,915,,"Windy, Sunny, NW 15-20",NA,NA,NA,NA,901.3,NA,327.8,180.2,123.8,77.9,47,32.1,22.2,14.1,9.84,6.48,NA,NA,NA,NA,NA,NA,NA,NA,0-6,1,NA,NA`,
